MajorCluster,ESCA,KIDNEY,MYE,OV-FTC,PAAD,RC,THCA,UCEC
Macro_C1QC,1101,1536,1005,1925,1023,0,443,865
Macro_INHBA,947,0,0,0,0,0,1100,0
Macro_ISG15,0,0,0,0,0,0,144,318
Macro_LYVE1,1217,1314,0,0,0,0,252,636
Macro_NLRP3,1560,0,151,0,0,0,889,1303
Macro_SPP1,0,0,0,1353,356,0,498,1072
Mast_KIT,539,1989,0,7,594,0,50,689
Mono_CD14,974,5352,2321,258,409,0,221,1844
Mono_CD16,384,7776,2083,160,55,0,285,350
cDC1_CLEC9A,75,211,42,17,11,0,135,170
cDC2_CD1A,109,0,0,0,0,415,179,378
cDC2_CD1C,640,4525,314,142,353,0,883,1159
cDC2_CXCL9,4,0,0,0,0,75,21,23
cDC2_CXCR4hi,93,0,0,0,0,1220,116,306
cDC2_FCN1,74,0,0,0,0,226,48,226
cDC2_IL1B,182,0,0,0,0,589,235,56
cDC2_ISG15,19,0,0,0,0,200,28,19
cDC3_LAMP3,144,227,6,15,52,0,130,166
pDC_LILRA4,92,54,89,11,0,0,282,236
